ref,title,n_iso_edges,classification,proposed_iso_ref,edge_type,confidence,rationale
Art.82,Right to compensation and liability,0,tenant_facing_bridgeable,A.5.33,SUPPORTS,medium,Protection of records — legal-hold retention of processing activity records enables the org to demonstrate compliance defence per Art.82.3.
Art.83,General conditions for imposing administrative fines,2,already_bridged,,,,
Art.84,Penalties,0,tenant_facing_unbridgeable,,,,
Art.85,Processing and freedom of expression and information,2,already_bridged,,,,
Art.86,Processing and public access to official documents,0,tenant_facing_unbridgeable,,,,
Art.87,Processing of the national identification number,0,tenant_facing_bridgeable,A.8.11,IMPLEMENTS,medium,Data masking — national ID numbers are the exact use case for pseudonymization/masking Art.87 references.
Art.88,Processing in the context of employment,0,tenant_facing_bridgeable,A.6.6,SUPPORTS,medium,Confidentiality or non-disclosure agreements — employment-context processing per Art.88 is governed by NDA + employment contract data protection clauses.
Art.88,Processing in the context of employment,0,tenant_facing_bridgeable,A.6.5,SUPPORTS,medium,Responsibilities after termination — Art.88 requires specific safeguards including post-employment access revocation.
Art.89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",0,tenant_facing_bridgeable,A.5.33,IMPLEMENTS,high,"Protection of records — archiving purposes per Art.89 require documented safeguards + retention controls, which is A.5.33's core scope."
Art.89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",0,tenant_facing_bridgeable,A.8.11,SUPPORTS,high,Data masking — the technical safeguard Art.89.1 names explicitly (pseudonymisation) for research + statistical purposes.
Art.90,Obligations of secrecy,0,tenant_facing_bridgeable,A.6.6,SUPPORTS,medium,"Confidentiality / non-disclosure agreements — professional secrecy per Art.90 is a formalized confidentiality obligation, the org's NDA framework covers it."
Art.91,Existing data protection rules of churches and religious associations,0,tenant_facing_unbridgeable,,,,
