ref,title,obligation_snippet
Art.28.3.g,Processor — 3(g),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (g) at the choice of the controller, deletes or returns all the pe"
Art.28.3.h,Processor — 3(h),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (h) makes available all information necessary to demonstrate compl"
Art.30.1,Records of processing activities — paragraph 1,"Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (a) the name and contact details of the controller, joint control"
Art.30.1.a,Records of processing activities — 1(a),"Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (a) the name and contact details of the controller, joint control"
Art.30.1.b,Records of processing activities — 1(b),Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (b) the purposes of the processing;
Art.30.1.c,Records of processing activities — 1(c),Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (c) a description of the categories of data subjects and of the c
Art.30.1.f,Records of processing activities — 1(f),"Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (f) where possible, the envisaged time limits for erasure;"
Art.30.1.g,Records of processing activities — 1(g),"Each controller shall maintain a record of processing activities under its responsibility containing all of the following information: (g) where possible, a general description of the technical and or"
Art.30.2,Records of processing activities — paragraph 2,"Each processor shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing the name and contact details of the processor, categories of process"
Art.30.4,Records of processing activities — paragraph 4,The controller or the processor shall make the record available to the supervisory authority on request.
Art.33.1,Notification of a personal data breach to the supervisory authority — paragraph 1,"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the sup"
Art.33.2,Notification of a personal data breach to the supervisory authority — paragraph 2,The processor shall notify the controller without undue delay after becoming aware of a personal data breach.
Art.33.3,Notification of a personal data breach to the supervisory authority — paragraph 3,The notification referred to in paragraph 1 shall at least: (a) describe the nature of the breach including categories and approximate number of data subjects concerned; (b) communicate the name and c
Art.33.3.a,Notification of a personal data breach to the supervisory authority — 3(a),"describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned;"
Art.33.3.b,Notification of a personal data breach to the supervisory authority — 3(b),communicate the name and contact details of the DPO or other contact point;
Art.33.3.c,Notification of a personal data breach to the supervisory authority — 3(c),describe the likely consequences of the personal data breach;
Art.33.3.d,Notification of a personal data breach to the supervisory authority — 3(d),"describe the measures taken or proposed to be taken to address the breach including, where appropriate, measures to mitigate its possible adverse effects."
Art.33.5,Notification of a personal data breach to the supervisory authority — paragraph 5,"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken."
