ref,title,obligation_snippet
Art.20,Right to data portability,"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and h"
Art.20.1,Right to data portability — paragraph 1,"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and h"
Art.21,Right to object,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or"
Art.21.1,Right to object — paragraph 1,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or"
Art.21.2,Right to object — paragraph 2,"Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing."
Art.22,"Automated individual decision-making, including profiling","The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly signifi"
Art.22.1,"Automated individual decision-making, including profiling — paragraph 1","The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly signifi"
Art.22.2,"Automated individual decision-making, including profiling — paragraph 2","Paragraph 1 shall not apply if the decision: (a) is necessary for entering into, or performance of, a contract; (b) is authorised by Union or Member State law; or (c) is based on the data subject's ex"
Art.22.3,"Automated individual decision-making, including profiling — paragraph 3","In the cases referred to in points (a) and (c) of paragraph 2, the data controller shall implement suitable measures to safeguard the data subject's rights and freedoms, including at least the right t"
Art.31,Cooperation with the supervisory authority,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks."
Art.31.1,Cooperation with the supervisory authority — paragraph 1,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks."
Art.34,Communication of a personal data breach to the data subject,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without un"
Art.34.1,Communication of a personal data breach to the data subject — paragraph 1,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without un"
Art.34.2,Communication of a personal data breach to the data subject — paragraph 2,"The communication to the data subject shall describe in clear and plain language the nature of the personal data breach and contain at least the name and contact details of the DPO, the likely consequ"
Art.34.3,Communication of a personal data breach to the data subject — paragraph 3,The communication to the data subject shall not be required if: (a) the controller has implemented appropriate protection measures making the data unintelligible such as encryption; (b) the controller
Art.7,Conditions for consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data. If the data subject's consent is given "
Art.7.3,Conditions for consent — paragraph 3,The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. It sha
